dataset,pca_dim,k,silhouette,calinski_harabasz,davies_bouldin
D1-Swiss,1,2,0.5749168609645137,1391.4663105683078,0.5762971276710614
D2-Cultural,1,4,0.8834761142440183,2926.9450693226663,0.1616416484815604
D3-Academic,1,2,0.6601890690236684,76041.15297533899,0.45069582908125666
D4-Tech,1,2,0.5524340034921917,1664.8586084973408,0.6136201909421038
