dataset,k,silhouette,calinski_harabasz,davies_bouldin
D1-Swiss,2,0.34331818664682445,483.7274670838648,1.119677174293313
D2-Cultural,8,0.5898758831198755,50.999582448032896,0.7297428057675671
D3-Academic,2,0.34211415515837146,12029.477804432205,1.2783390111188526
D4-Tech,8,0.3047224805258271,269.91057192094274,1.0828728976655517
