Reference,Target,Profile,Ref_Depression,Ref_Anxiety,Ref_Stress,Ref_Burnout,Ref_N,Target_Depression,Target_Anxiety,Target_Stress,Target_Burnout,Target_N
D1-Swiss,D2-Cultural,P1,-0.6348044174673239,-0.5819769827323297,-0.45920628275420067,-0.5538901159290558,389,-0.5493737871347928,-0.35217001309052604,-0.1419859043263022,-0.42444607736181694,47
D1-Swiss,D2-Cultural,P2,0.8178133767697213,0.7191633459156569,0.5710966822628517,0.7454727831400352,307,0.7364154864979754,0.6342707566029714,0.30560738736826554,0.6601677901669892,33
D1-Swiss,D3-Academic,P1,-0.6348044174673239,-0.5819769827323297,-0.45920628275420067,-0.5538901159290558,389,-0.6824085759547687,-0.5437933739295957,-0.4936903992340432,-0.13056246302729466,11395
D1-Swiss,D3-Academic,P2,0.8178133767697213,0.7191633459156569,0.5710966822628517,0.7454727831400352,307,0.7172786754308735,0.576206431469125,0.5129292276556019,0.13245076320486485,10925
D1-Swiss,D4-Tech,P1,-0.6348044174673239,-0.5819769827323297,-0.45920628275420067,-0.5538901159290558,389,-0.536290067994673,-0.4031225846541154,-0.2999482529552374,-0.36500140952026155,583
D1-Swiss,D4-Tech,P2,0.8178133767697213,0.7191633459156569,0.5710966822628517,0.7454727831400352,307,0.7259136847036121,0.5212608865658961,0.4336107340743184,0.5085316061084548,392
D2-Cultural,D1-Swiss,P1,-0.2209768246565134,0.09030985713255521,0.13455005047309715,0.1121014671755091,29,-0.17542214280000762,0.044994138606980344,-0.046060323299093334,0.049745589157232435,240
D2-Cultural,D1-Swiss,P2,1.0229744236669223,0.6983962284917604,-0.30682011509591733,0.3694252895556553,12,0.8043937129209128,0.6486442373098258,0.3422380098772803,0.6423882372868296,153
D2-Cultural,D1-Swiss,P3,-0.7282190812544191,-0.7123641530615958,0.06486002433062119,-0.696630546019236,29,-0.9298895443086573,-1.0166939380629911,-0.42204678793258993,-0.847504857162872,226
D2-Cultural,D1-Swiss,P4,1.3732131246511905,1.4037764192684385,0.13106554916597338,1.4354811251305466,10,1.731349369900964,1.4821528485894515,0.6593516054108475,1.2299824070620315,77
D2-Cultural,D3-Academic,P1,-0.2209768246565134,0.09030985713255521,0.13455005047309715,0.1121014671755091,29,0.15041788314362806,0.06745551524693422,0.1361212303988431,-0.15664317479161075,8349
D2-Cultural,D3-Academic,P2,1.0229744236669223,0.6983962284917604,-0.30682011509591733,0.3694252895556553,12,0.7965519624058082,0.7782704479181088,0.14400266793129252,0.2797379052478104,6790
D2-Cultural,D3-Academic,P3,-0.7282190812544191,-0.7123641530615958,0.06486002433062119,-0.696630546019236,29,-1.0554492251679586,-0.9660599286751003,-0.346501295179432,-0.21131068274649914,6667
D2-Cultural,D3-Academic,P4,1.3732131246511905,1.4037764192684385,0.13106554916597338,1.4354811251305466,10,0.8413950567527203,1.3455425567874133,0.3385594941116442,1.510636446285139,514
D2-Cultural,D4-Tech,P1,-0.2209768246565134,0.09030985713255521,0.13455005047309715,0.1121014671755091,29,0.005609040372534316,-0.06693811978344742,-0.11770642948354597,-0.002186994766158765,474
D2-Cultural,D4-Tech,P2,1.0229744236669223,0.6983962284917604,-0.30682011509591733,0.3694252895556553,12,0.9032583296721858,0.6644292282164749,0.08965113694537374,0.5534930167168273,162
D2-Cultural,D4-Tech,P3,-0.7282190812544191,-0.7123641530615958,0.06486002433062119,-0.696630546019236,29,-0.9531340792261078,-0.6828365517014027,0.10422586203003305,-0.7123547789544914,278
D2-Cultural,D4-Tech,P4,1.3732131246511905,1.4037764192684385,0.13106554916597338,1.4354811251305466,10,1.4407507253164604,1.3644835386845424,0.12131393491689328,1.5730157902390771,61
D3-Academic,D1-Swiss,P1,0.7505846926711284,0.5035042984608364,0.4080627443827778,-0.22161865385948332,12786,0.6697856357408435,0.6677757202016841,0.4369323278815767,0.4005590343398595,364
D3-Academic,D1-Swiss,P2,-1.000288658948536,-0.6649125437641921,-0.5495427456275087,0.2929391053140843,9534,-0.7219041660727457,-0.7490248832535619,-0.48899978881199563,-0.39881505774735176,332
D3-Academic,D2-Cultural,P1,0.7505846926711284,0.5035042984608364,0.4080627443827778,-0.22161865385948332,12786,0.5531420199075379,0.6811918335947683,0.35041915584125444,-0.07259786178027525,41
D3-Academic,D2-Cultural,P2,-1.000288658948536,-0.6649125437641921,-0.5495427456275087,0.2929391053140843,9534,-0.6204533271054136,-0.6038441237113376,-0.28090972076089427,0.12341240442298808,39
D3-Academic,D4-Tech,P1,0.7505846926711284,0.5035042984608364,0.4080627443827778,-0.22161865385948332,12786,0.511597499235277,0.42557220470952684,0.34505568831918126,0.0057879795130280015,518
D3-Academic,D4-Tech,P2,-1.000288658948536,-0.6649125437641921,-0.5495427456275087,0.2929391053140843,9534,-0.6413707873981445,-0.54952429181412,-0.4018233485013271,-0.03599476048916123,457
D4-Tech,D1-Swiss,P1,-0.70387536424347,-0.40982832658049756,-0.22273985919393524,-0.45945766605833877,507,-0.6772397643367719,-0.6155305551314818,-0.4195156232378249,-0.6146322696188312,369
D4-Tech,D1-Swiss,P2,0.7024911633212839,0.37841188516409036,0.23084334379392013,0.4690034284952555,468,0.776854010133897,0.6774461032316428,0.46329266800632657,0.7345449443943021,327
D4-Tech,D2-Cultural,P1,-0.70387536424347,-0.40982832658049756,-0.22273985919393524,-0.45945766605833877,507,-0.6804592583929281,-0.2314231138956788,-0.10778117679505793,-0.5028022122783468,44
